timestamp,UTC time, latitude, longitude, altitude, accuracy
1446128002565,2015-10-29T14:13:22.565,42.0666585,-72.10459947,184.0,32.0
1446128003521,2015-10-29T14:13:23.521,42.0668867,-72.10426774,171.0,22.0
1446128004687,2015-10-29T14:13:24.687,42.06708966,-72.1042504,183.0,13.0
1446128005843,2015-10-29T14:13:25.843,42.06734779,-72.10396412,175.0,13.0
1446128006556,2015-10-29T14:13:26.556,42.06755372,-72.10363634,174.0,11.0
1446128007565,2015-10-29T14:13:27.565,42.06777723,-72.10329024,172.0,13.0
1446128008554,2015-10-29T14:13:28.554,42.06797351,-72.10284756,163.0,13.0
1446128009553,2015-10-29T14:13:29.553,42.06816542,-72.10263151,164.0,12.0
1446128010557,2015-10-29T14:13:30.557,42.06835496,-72.10237885,168.0,12.0
1446128011574,2015-10-29T14:13:31.574,42.06860611,-72.10233716,172.0,13.0
1446128012553,2015-10-29T14:13:32.553,42.06881086,-72.10225898,181.0,12.0
1446128013528,2015-10-29T14:13:33.528,42.06904538,-72.1021423,189.0,9.0
1446128014572,2015-10-29T14:13:34.572,42.06926217,-72.10197454,191.0,8.0
1446128015514,2015-10-29T14:13:35.514,42.06942197,-72.10177135,193.0,7.0
1446128016513,2015-10-29T14:13:36.513,42.06963424,-72.10159381,193.0,7.0
1446128017536,2015-10-29T14:13:37.536,42.06981589,-72.10141881,194.0,8.0
1446128018471,2015-10-29T14:13:38.471,42.0699813,-72.1037707,0.0,1635.0
1446128018523,2015-10-29T14:13:38.523,42.06998975,-72.10123314,195.0,9.0
1446128019493,2015-10-29T14:13:39.493,42.07016869,-72.10101897,197.0,9.0
1446128020493,2015-10-29T14:13:40.493,42.07035043,-72.1008173,196.0,10.0
1446128021494,2015-10-29T14:13:41.494,42.07060331,-72.100661,195.0,11.0
1446128022510,2015-10-29T14:13:42.510,42.07085619,-72.10043411,192.0,12.0
1446128023507,2015-10-29T14:13:43.507,42.07112185,-72.10028413,192.0,12.0
1446128024751,2015-10-29T14:13:44.751,42.07135047,-72.10003617,192.0,12.0
1446128025579,2015-10-29T14:13:45.579,42.07151226,-72.09980503,192.0,11.0
1446128026567,2015-10-29T14:13:46.567,42.0716907,-72.09957383,192.0,13.0
1446128027493,2015-10-29T14:13:47.493,42.07183852,-72.09949055,192.0,11.0
1446128028553,2015-10-29T14:13:48.553,42.07202757,-72.09927045,191.0,10.0
1446128029568,2015-10-29T14:13:49.568,42.07222885,-72.09913115,190.0,10.0
1446128030566,2015-10-29T14:13:50.566,42.07246393,-72.09898033,188.0,10.0
1446128031582,2015-10-29T14:13:51.582,42.07263353,-72.09879754,187.0,11.0
1446128032552,2015-10-29T14:13:52.552,42.07283186,-72.0986075,188.0,11.0
1446128033592,2015-10-29T14:13:53.592,42.07300292,-72.09845641,186.0,10.0
1446128034533,2015-10-29T14:13:54.533,42.07318708,-72.0983086,185.0,10.0
