timestamp,UTC time, latitude, longitude, altitude, accuracy
1446681259712,2015-11-04T23:54:19.712,41.3149019,-72.9593306,0.0,34.5
1446681277789,2015-11-04T23:54:37.789,41.31528211,-72.9595296,-71.0,43.0
1446681278829,2015-11-04T23:54:38.829,41.3153079,-72.95943957,-76.0,46.0
1446681279752,2015-11-04T23:54:39.752,41.315287,-72.95948264,-71.0,50.0
1446681279793,2015-11-04T23:54:39.793,41.3148655,-72.9593419,0.0,33.0
1446681280776,2015-11-04T23:54:40.776,41.31525454,-72.95948841,-67.0,49.0
1446681282419,2015-11-04T23:54:42.419,41.31523648,-72.95949797,-63.0,53.0
1446681282739,2015-11-04T23:54:42.739,41.31522267,-72.95949037,-60.0,56.0
1446681283844,2015-11-04T23:54:43.844,41.3151878,-72.95948071,-57.0,58.0
1446681284783,2015-11-04T23:54:44.783,41.31517266,-72.95946688,-54.0,60.0
1446681285794,2015-11-04T23:54:45.794,41.31513854,-72.9593778,-55.0,68.0
1446681286805,2015-11-04T23:54:46.805,41.31513615,-72.95938894,-52.0,77.0
1446681288087,2015-11-04T23:54:48.87,41.31516185,-72.95941481,-54.0,81.0
1446681288784,2015-11-04T23:54:48.784,41.31514703,-72.95940463,-54.0,90.0
1446681289796,2015-11-04T23:54:49.796,41.31515091,-72.95939154,-54.0,100.0
1446681290795,2015-11-04T23:54:50.795,41.31515307,-72.95940475,-54.0,99.0
1446681291789,2015-11-04T23:54:51.789,41.3151718,-72.95933925,-56.0,90.0
1446681292739,2015-11-04T23:54:52.739,41.31516467,-72.95932931,-55.0,77.0
1446681293864,2015-11-04T23:54:53.864,41.31516247,-72.95930691,-55.0,60.0
1446681294749,2015-11-04T23:54:54.749,41.31515674,-72.95926912,-55.0,53.0
1446681295765,2015-11-04T23:54:55.765,41.31514417,-72.95921926,-55.0,51.0
1446681296769,2015-11-04T23:54:56.769,41.3150974,-72.95950471,-53.0,42.0
1446681297767,2015-11-04T23:54:57.767,41.31505592,-72.95975219,-52.0,25.0
1446681298774,2015-11-04T23:54:58.774,41.31505142,-72.95973494,-52.0,24.0
1446681299792,2015-11-04T23:54:59.792,41.31504533,-72.95973162,-52.0,24.0
1446681299871,2015-11-04T23:54:59.871,41.3149003,-72.9593297,0.0,31.5
1446681300764,2015-11-04T23:55:00.764,41.31502777,-72.95971462,-51.0,23.0
1446681301775,2015-11-04T23:55:01.775,41.31504537,-72.9596658,-51.0,22.0
1446681302752,2015-11-04T23:55:02.752,41.31504818,-72.95967246,-51.0,22.0
1446681303806,2015-11-04T23:55:03.806,41.31503271,-72.95967861,-46.0,25.0
1446681304786,2015-11-04T23:55:04.786,41.31505402,-72.95965476,-45.0,30.0
1446681305776,2015-11-04T23:55:05.776,41.3150458,-72.95959773,-42.0,36.0
1446681306896,2015-11-04T23:55:06.896,41.31503462,-72.95951455,-34.0,32.0
1446681307787,2015-11-04T23:55:07.787,41.31501946,-72.95949541,-32.0,33.0
1446681308909,2015-11-04T23:55:08.909,41.31499154,-72.95962187,-28.0,28.0
1446681309791,2015-11-04T23:55:09.791,41.31500166,-72.95964236,-26.0,29.0
1446681310789,2015-11-04T23:55:10.789,41.31499132,-72.95970627,-21.0,26.0
1446681311876,2015-11-04T23:55:11.876,41.31500183,-72.95973388,-27.0,27.0
1446681312871,2015-11-04T23:55:12.871,41.31498937,-72.95972002,-27.0,28.0
1446681313870,2015-11-04T23:55:13.870,41.31498485,-72.95970899,-27.0,28.0
1446681314874,2015-11-04T23:55:14.874,41.31499508,-72.95967509,-24.0,29.0
1446681315733,2015-11-04T23:55:15.733,41.31504852,-72.95972646,-26.0,32.0
1446681316774,2015-11-04T23:55:16.774,41.31506998,-72.95963126,-25.0,22.0
1446681317767,2015-11-04T23:55:17.767,41.31507986,-72.95961039,-27.0,23.0
1446681318766,2015-11-04T23:55:18.766,41.31509309,-72.95959359,-29.0,23.0
1446681319850,2015-11-04T23:55:19.850,41.3150891,-72.95957337,-30.0,23.0
1446681319879,2015-11-04T23:55:19.879,41.3148496,-72.9593218,0.0,30.0
1446681320765,2015-11-04T23:55:20.765,41.31508829,-72.95959516,-29.0,22.0
1446681321782,2015-11-04T23:55:21.782,41.31506677,-72.95961696,-29.0,21.0
1446681322883,2015-11-04T23:55:22.883,41.31503593,-72.95963771,-24.0,22.0
1446681323798,2015-11-04T23:55:23.798,41.31503847,-72.95966802,-23.0,17.0
1446681324818,2015-11-04T23:55:24.818,41.31508053,-72.95971942,-28.0,17.0
1446681325753,2015-11-04T23:55:25.753,41.31507818,-72.95974678,-28.0,18.0
1446681326884,2015-11-04T23:55:26.884,41.31507777,-72.95977906,-29.0,19.0
1446681327884,2015-11-04T23:55:27.884,41.31506725,-72.95977169,-28.0,20.0
1446681328872,2015-11-04T23:55:28.872,41.31507231,-72.95977822,-27.0,20.0
1446681329782,2015-11-04T23:55:29.782,41.31508849,-72.95980563,-28.0,22.0
1446681330746,2015-11-04T23:55:30.746,41.31510889,-72.95984635,-31.0,23.0
1446681331855,2015-11-04T23:55:31.855,41.31508659,-72.95983771,-33.0,24.0
1446681332860,2015-11-04T23:55:32.860,41.31509388,-72.95988489,-38.0,24.0
1446681334793,2015-11-04T23:55:34.793,41.31507921,-72.95989641,-38.0,21.0
1446681334797,2015-11-04T23:55:34.797,41.31510368,-72.95983179,-42.0,18.0
1446681335773,2015-11-04T23:55:35.773,41.31510684,-72.95985057,-40.0,16.0
1446681336762,2015-11-04T23:55:36.762,41.3150875,-72.95990138,-41.0,15.0
1446681337762,2015-11-04T23:55:37.762,41.31509062,-72.95990258,-42.0,15.0
1446681338768,2015-11-04T23:55:38.768,41.31509617,-72.95990668,-43.0,15.0
1446681339839,2015-11-04T23:55:39.839,41.3151103,-72.95990274,-42.0,15.0
1446681339870,2015-11-04T23:55:39.870,41.3148954,-72.9593331,0.0,30.0
1446681341365,2015-11-04T23:55:41.365,41.31511156,-72.95989099,-43.0,15.0
1446681341816,2015-11-04T23:55:41.816,41.31511388,-72.95990165,-41.0,15.0
1446681342792,2015-11-04T23:55:42.792,41.31513446,-72.95990398,-39.0,15.0
1446681343743,2015-11-04T23:55:43.743,41.31511422,-72.95992209,-38.0,15.0
1446681344888,2015-11-04T23:55:44.888,41.31510462,-72.9599496,-38.0,15.0
1446681345903,2015-11-04T23:55:45.903,41.31511344,-72.95994369,-35.0,16.0
1446681346795,2015-11-04T23:55:46.795,41.31512105,-72.95999678,-33.0,15.0
1446681348817,2015-11-04T23:55:48.817,41.31510998,-72.96000369,-32.0,17.0
1446681349789,2015-11-04T23:55:49.789,41.31510803,-72.96002396,-32.0,16.0
1446681350778,2015-11-04T23:55:50.778,41.31509909,-72.96002095,-32.0,18.0
1446681351868,2015-11-04T23:55:51.868,41.31509966,-72.96001304,-32.0,18.0
1446681352878,2015-11-04T23:55:52.878,41.31510203,-72.95999879,-32.0,19.0
1446681353799,2015-11-04T23:55:53.799,41.31509919,-72.96000217,-32.0,21.0
1446681354794,2015-11-04T23:55:54.794,41.31509145,-72.96001222,-32.0,19.0
1446681355769,2015-11-04T23:55:55.769,41.31508523,-72.95999985,-31.0,16.0
1446681356773,2015-11-04T23:55:56.773,41.31508502,-72.95999532,-32.0,16.0
1446681357774,2015-11-04T23:55:57.774,41.31508525,-72.95999514,-31.0,16.0
1446681358766,2015-11-04T23:55:58.766,41.31508524,-72.95999533,-31.0,16.0
1446681359763,2015-11-04T23:55:59.763,41.31508491,-72.95998934,-31.0,15.0
1446681359875,2015-11-04T23:55:59.875,41.3148979,-72.9593295,0.0,33.0
1446681360768,2015-11-04T23:56:00.768,41.31508327,-72.95999438,-31.0,14.0
1446681361789,2015-11-04T23:56:01.789,41.31509112,-72.95997468,-32.0,14.0
1446681362854,2015-11-04T23:56:02.854,41.31508754,-72.95998079,-31.0,14.0
1446681363771,2015-11-04T23:56:03.771,41.3150857,-72.95997345,-31.0,13.0
1446681364792,2015-11-04T23:56:04.792,41.31508091,-72.95995764,-30.0,13.0
1446681365781,2015-11-04T23:56:05.781,41.31507939,-72.9599644,-30.0,13.0
1446681366785,2015-11-04T23:56:06.785,41.31507813,-72.95996975,-31.0,13.0
1446681367894,2015-11-04T23:56:07.894,41.31507807,-72.95996955,-31.0,13.0
1446681368794,2015-11-04T23:56:08.794,41.31507706,-72.95996644,-30.0,13.0
1446681369773,2015-11-04T23:56:09.773,41.31507585,-72.95996891,-31.0,13.0
1446681370787,2015-11-04T23:56:10.787,41.31507531,-72.95997014,-31.0,13.0
1446681371841,2015-11-04T23:56:11.841,41.31507506,-72.95997064,-31.0,13.0
1446681372792,2015-11-04T23:56:12.792,41.31507612,-72.9599696,-31.0,13.0
1446681373804,2015-11-04T23:56:13.804,41.31507496,-72.95997317,-31.0,13.0
1446681374737,2015-11-04T23:56:14.737,41.31507497,-72.95997294,-31.0,14.0
1446681375771,2015-11-04T23:56:15.771,41.31507497,-72.95997295,-31.0,14.0
