timestamp,UTC time, latitude, longitude, altitude, accuracy
1444496690070,2015-10-10T17:04:50.70,41.61230554,-72.69922981,-37.0,16.0
1444496690937,2015-10-10T17:04:50.937,41.6173537,-72.6960155,0.0,1465.0
1444496691100,2015-10-10T17:04:51.100,41.61205853,-72.69938215,-46.0,10.0
1444496692012,2015-10-10T17:04:52.12,41.61182423,-72.69954573,-41.0,7.0
1444496693175,2015-10-10T17:04:53.175,41.61154476,-72.69972131,-33.0,6.0
1444496694049,2015-10-10T17:04:54.49,41.61127405,-72.69989312,-33.0,7.0
1444496695037,2015-10-10T17:04:55.37,41.61101759,-72.70005298,-31.0,7.0
1444496696057,2015-10-10T17:04:56.57,41.61078872,-72.70024328,-38.0,8.0
1444496697051,2015-10-10T17:04:57.51,41.61052207,-72.70040857,-36.0,10.0
1444496698013,2015-10-10T17:04:58.13,41.61032187,-72.70040856,-36.0,11.0
1444496699254,2015-10-10T17:04:59.254,41.61002317,-72.70063838,-35.0,8.0
1444496700070,2015-10-10T17:05:00.70,41.60976902,-72.70080825,-35.0,8.0
1444496701038,2015-10-10T17:05:01.38,41.60949296,-72.70099766,-35.0,7.0
1444496702035,2015-10-10T17:05:02.35,41.60920173,-72.70120616,-33.0,7.0
1444496703012,2015-10-10T17:05:03.12,41.60894988,-72.70138703,-31.0,6.0
1444496704015,2015-10-10T17:05:04.15,41.60868488,-72.70156553,-31.0,7.0
1444496705015,2015-10-10T17:05:05.15,41.6084245,-72.70175923,-29.0,7.0
1444496706013,2015-10-10T17:05:06.13,41.60815174,-72.70195031,-28.0,8.0
1444496706981,2015-10-10T17:05:06.981,41.60783852,-72.70215193,-28.0,8.0
1444496708012,2015-10-10T17:05:08.12,41.60759817,-72.70232773,-27.0,7.0
1444496709017,2015-10-10T17:05:09.17,41.60733624,-72.70250388,-27.0,6.0
1444496710016,2015-10-10T17:05:10.16,41.60703491,-72.70270538,-28.0,7.0
1444496711018,2015-10-10T17:05:11.18,41.60678003,-72.70286276,-28.0,8.0
1444496712014,2015-10-10T17:05:12.14,41.606545,-72.70303926,-32.0,10.0
1444496712032,2015-10-10T17:05:12.32,41.6173537,-72.6960155,0.0,1465.0
1444496713015,2015-10-10T17:05:13.15,41.60623546,-72.70313414,-32.0,12.0
1444496714001,2015-10-10T17:05:14.1,41.60598721,-72.70327732,-30.0,14.0
1444496715100,2015-10-10T17:05:15.100,41.60570264,-72.70353052,-30.0,14.0
1444496716012,2015-10-10T17:05:16.12,41.60547336,-72.7037242,-30.0,14.0
1444496717005,2015-10-10T17:05:17.5,41.60523592,-72.70381016,-30.0,13.0
1444496718019,2015-10-10T17:05:18.19,41.60503008,-72.70406935,-33.0,13.0
1444496719006,2015-10-10T17:05:19.6,41.60483056,-72.70426404,-33.0,14.0
1444496720110,2015-10-10T17:05:20.110,41.60448603,-72.70440679,-33.0,11.0
1444496721021,2015-10-10T17:05:21.21,41.60420331,-72.7045524,-32.0,9.0
1444496722012,2015-10-10T17:05:22.12,41.60391624,-72.70474246,-30.0,9.0
1444496723101,2015-10-10T17:05:23.101,41.60361962,-72.70494463,-31.0,9.0
1444496724005,2015-10-10T17:05:24.5,41.6033734,-72.70512059,-32.0,8.0
1444496725164,2015-10-10T17:05:25.164,41.60310346,-72.70530748,-33.0,7.0
1444496726017,2015-10-10T17:05:26.17,41.6028225,-72.70549511,-35.0,7.0
1444496727010,2015-10-10T17:05:27.10,41.60256105,-72.70566924,-33.0,8.0
1444496728014,2015-10-10T17:05:28.14,41.60229784,-72.70581994,-35.0,10.0
1444496729010,2015-10-10T17:05:29.10,41.6020319,-72.70597275,-37.0,10.0
1444496730010,2015-10-10T17:05:30.10,41.60178006,-72.70614514,-39.0,8.0
1444496731093,2015-10-10T17:05:31.93,41.60152642,-72.70632587,-40.0,8.0
1444496731982,2015-10-10T17:05:31.982,41.60128665,-72.70648972,-40.0,8.0
1444496732098,2015-10-10T17:05:32.98,41.6080912,-72.7023827,0.0,1465.0
1444496733019,2015-10-10T17:05:33.19,41.60101978,-72.70666293,-39.0,8.0
1444496734077,2015-10-10T17:05:34.77,41.60072877,-72.70685053,-36.0,8.0
1444496735008,2015-10-10T17:05:35.8,41.60047463,-72.70701705,-36.0,9.0
1444496735985,2015-10-10T17:05:35.985,41.60022209,-72.70719229,-36.0,9.0
1444496736975,2015-10-10T17:05:36.975,41.59995676,-72.7073481,-36.0,8.0
1444496738020,2015-10-10T17:05:38.20,41.59969627,-72.70750839,-34.0,7.0
1444496739076,2015-10-10T17:05:39.76,41.59942235,-72.70766351,-31.0,7.0
1444496740020,2015-10-10T17:05:40.20,41.59916988,-72.70782033,-31.0,7.0
1444496740988,2015-10-10T17:05:40.988,41.59889021,-72.70797239,-32.0,7.0
1444496742016,2015-10-10T17:05:42.16,41.59859152,-72.70811508,-30.0,7.0
1444496743106,2015-10-10T17:05:43.106,41.5983132,-72.70824139,-30.0,8.0
1444496744042,2015-10-10T17:05:44.42,41.5980413,-72.70838247,-29.0,10.0
1444496745010,2015-10-10T17:05:45.10,41.59771898,-72.70852196,-28.0,10.0
1444496745973,2015-10-10T17:05:45.973,41.5974571,-72.70863573,-29.0,11.0
1444496747025,2015-10-10T17:05:47.25,41.59710586,-72.70874663,-29.0,10.0
1444496748018,2015-10-10T17:05:48.18,41.59684265,-72.7088236,-29.0,10.0
1444496749007,2015-10-10T17:05:49.7,41.59651849,-72.7089149,-29.0,10.0
1444496750012,2015-10-10T17:05:50.12,41.59619334,-72.70898519,-29.0,13.0
1444496751011,2015-10-10T17:05:51.11,41.59592892,-72.70906147,-29.0,13.0
1444496752007,2015-10-10T17:05:52.7,41.59563135,-72.7091646,-28.0,14.0
1444496752090,2015-10-10T17:05:52.90,41.5988287,-72.7087499,0.0,1624.0
1444496753028,2015-10-10T17:05:53.28,41.59531349,-72.70927258,-28.0,14.0
1444496753989,2015-10-10T17:05:53.989,41.59502984,-72.70930762,-30.0,15.0
1444496755017,2015-10-10T17:05:55.17,41.59468073,-72.70939283,-27.0,14.0
1444496756058,2015-10-10T17:05:56.58,41.59439307,-72.70947818,-27.0,14.0
1444496757005,2015-10-10T17:05:57.5,41.59408251,-72.70954126,-27.0,14.0
1444496757977,2015-10-10T17:05:57.977,41.59371277,-72.70962457,-27.0,14.0
1444496759052,2015-10-10T17:05:59.52,41.59333923,-72.70966919,-29.0,13.0
1444496759977,2015-10-10T17:05:59.977,41.59308259,-72.70985292,-28.0,13.0
1444496760992,2015-10-10T17:06:00.992,41.5927296,-72.70994942,-27.0,14.0
1444496762042,2015-10-10T17:06:02.42,41.59241616,-72.70996819,-30.0,13.0
1444496762996,2015-10-10T17:06:02.996,41.59208895,-72.71005867,-31.0,13.0
1444496764014,2015-10-10T17:06:04.14,41.59176603,-72.71012188,-28.0,12.0
1444496765113,2015-10-10T17:06:05.113,41.59153892,-72.71023788,-28.0,12.0
1444496766011,2015-10-10T17:06:06.11,41.59119907,-72.71031439,-27.0,12.0
1444496767015,2015-10-10T17:06:07.15,41.59098349,-72.7104206,-27.0,13.0
1444496768012,2015-10-10T17:06:08.12,41.59072553,-72.71050587,-23.0,13.0
1444496769021,2015-10-10T17:06:09.21,41.59054671,-72.71065116,-26.0,13.0
1444496770014,2015-10-10T17:06:10.14,41.59029931,-72.71074901,-23.0,15.0
1444496771012,2015-10-10T17:06:11.12,41.58998683,-72.71081879,-24.0,15.0
1444496772013,2015-10-10T17:06:12.13,41.58965671,-72.71083566,-23.0,15.0
1444496773012,2015-10-10T17:06:13.12,41.58931879,-72.71087852,-21.0,14.0
1444496774017,2015-10-10T17:06:14.17,41.58896868,-72.71095278,-19.0,14.0
1444496774464,2015-10-10T17:06:14.464,41.6070922,-72.7117931,0.0,1624.0
1444496775109,2015-10-10T17:06:15.109,41.58868415,-72.71099208,-20.0,13.0
1444496776008,2015-10-10T17:06:16.8,41.5883748,-72.7111024,-20.0,13.0
1444496777130,2015-10-10T17:06:17.130,41.58812096,-72.711204,-20.0,12.0
1444496778034,2015-10-10T17:06:18.34,41.58790778,-72.71133005,-19.0,12.0
1444496779138,2015-10-10T17:06:19.138,41.58762219,-72.71143623,-18.0,12.0
1444496780027,2015-10-10T17:06:20.27,41.58738789,-72.71154091,-19.0,12.0
1444496781044,2015-10-10T17:06:21.44,41.58710357,-72.71169079,-19.0,13.0
1444496782015,2015-10-10T17:06:22.15,41.58679716,-72.71186052,-19.0,14.0
1444496783281,2015-10-10T17:06:23.281,41.58663422,-72.71193184,-18.0,15.0
1444496784022,2015-10-10T17:06:24.22,41.58639759,-72.71205396,-16.0,16.0
1444496785022,2015-10-10T17:06:25.22,41.58610056,-72.71226668,-17.0,14.0
1444496786017,2015-10-10T17:06:26.17,41.58581491,-72.71245034,-16.0,12.0
1444496787025,2015-10-10T17:06:27.25,41.58551524,-72.71266072,-18.0,11.0
1444496788029,2015-10-10T17:06:28.29,41.58528581,-72.71282893,-17.0,11.0
1444496788974,2015-10-10T17:06:28.974,41.58506434,-72.71300205,-15.0,10.0
1444496789994,2015-10-10T17:06:29.994,41.58480505,-72.71321424,-16.0,11.0
1444496790990,2015-10-10T17:06:30.990,41.58457864,-72.71339364,-16.0,12.0
1444496791976,2015-10-10T17:06:31.976,41.58434619,-72.71358135,-14.0,11.0
1444496793008,2015-10-10T17:06:33.8,41.58410076,-72.71376452,-14.0,12.0
1444496794012,2015-10-10T17:06:34.12,41.58389646,-72.71394901,-16.0,12.0
1444496794556,2015-10-10T17:06:34.556,41.5932828,-72.7177141,0.0,2027.0
1444496795024,2015-10-10T17:06:35.24,41.58368494,-72.71408216,-15.0,11.0
1444496796078,2015-10-10T17:06:36.78,41.58346908,-72.71427016,-16.0,11.0
1444496797024,2015-10-10T17:06:37.24,41.58323255,-72.71446872,-15.0,12.0
1444496798019,2015-10-10T17:06:38.19,41.58298435,-72.71458466,-16.0,12.0
1444496799031,2015-10-10T17:06:39.31,41.58276177,-72.71477488,-14.0,13.0
1444496799992,2015-10-10T17:06:39.992,41.5825252,-72.71503025,-15.0,13.0
1444496800989,2015-10-10T17:06:40.989,41.5822835,-72.7152632,-14.0,13.0
1444496802013,2015-10-10T17:06:42.13,41.58205975,-72.71538152,-12.0,13.0
1444496803043,2015-10-10T17:06:43.43,41.58179777,-72.71556552,-11.0,13.0
1444496804043,2015-10-10T17:06:44.43,41.58157675,-72.71577656,-10.0,13.0
1444496805012,2015-10-10T17:06:45.12,41.58136269,-72.71596422,-11.0,13.0
