timestamp,UTC time, latitude, longitude, altitude, accuracy
1446120075525,2015-10-29T12:01:15.525,41.5629372,-72.734499,0.0,1437.0
1446120095923,2015-10-29T12:01:35.923,41.5733765,-72.724306,0.0,1844.0
1446120115946,2015-10-29T12:01:55.946,41.5820563,-72.7187419,0.0,1426.0
1446120126573,2015-10-29T12:02:06.573,41.56618773,-72.72900271,22.0,105.0
1446120127569,2015-10-29T12:02:07.569,41.56617966,-72.72891455,20.0,98.0
1446120128556,2015-10-29T12:02:08.556,41.56616981,-72.72884678,20.0,94.0
1446120129573,2015-10-29T12:02:09.573,41.56565114,-72.72857731,25.0,48.0
1446120130578,2015-10-29T12:02:10.578,41.56588239,-72.72858402,24.0,42.0
1446120131526,2015-10-29T12:02:11.526,41.56593978,-72.72850396,26.0,41.0
1446120132572,2015-10-29T12:02:12.572,41.56600796,-72.72841328,27.0,47.0
1446120133583,2015-10-29T12:02:13.583,41.56637674,-72.72846667,26.0,55.0
1446120134528,2015-10-29T12:02:14.528,41.56646361,-72.72839418,26.0,64.0
1446120135522,2015-10-29T12:02:15.522,41.56670484,-72.72835916,27.0,74.0
1446120136655,2015-10-29T12:02:16.655,41.56676295,-72.72824674,27.0,70.0
1446120136920,2015-10-29T12:02:16.920,41.5863961,-72.7159599,0.0,1642.0
1446120137498,2015-10-29T12:02:17.498,41.5669025,-72.72819039,27.0,70.0
1446120138499,2015-10-29T12:02:18.499,41.56702467,-72.7281393,27.0,72.0
1446120139496,2015-10-29T12:02:19.496,41.56712274,-72.72820662,26.0,82.0
1446120140521,2015-10-29T12:02:20.521,41.56715305,-72.72765898,36.0,66.0
1446120141521,2015-10-29T12:02:21.521,41.56726223,-72.72757978,36.0,74.0
1446120142520,2015-10-29T12:02:22.520,41.56740946,-72.7274971,36.0,77.0
1446120143540,2015-10-29T12:02:23.540,41.56747881,-72.72740773,36.0,94.0
1446120144570,2015-10-29T12:02:24.570,41.56756013,-72.72728715,36.0,108.0
1446120145565,2015-10-29T12:02:25.565,41.56767179,-72.72699414,36.0,98.0
