Date	Hometime	DistTravelled	RoG	MaxDiam	MaxHomeDist	SigLocsVisited	AvgFlightLen	StdFlightLen	AvgFlightDur	StdFlightDur	ProbPause	SigLocEntropy	MinsMissing	CircdnRtn	WkEndDayRtn
2015-10-08	7.45515000025431	0	0	0	12.4237621861	1	0	0	0	0	1	0	5.78848333358765	NA	NA
2015-10-09	1234.83333333333	41474.7555473195	2017.49633675681	12385.425761367	11060.0520081035	2	221.790136616682	269.368597696688	53.4224598930481	106.38764646705	0.884375	0.0560997500868939	1219.66666666667	0.725088183421517	0.68828320802005
2015-10-10	1010.83333333333	179227.800757387	24754.3317287356	67136.5013681963	67136.5982291204	1	338.804916365571	423.038639441034	45.5576559546314	47.038437125635	0.721064814814815	0	1217.16666666667	0.592592592592593	0.678571428571429
2015-10-11	1089.83333333333	265415.374460718	30750.3008439715	111852.44103725	111578.72446564	1	432.272596841561	402.666146477245	29.9511400651466	38.9649638542088	0.787152777777778	0	1212.83333333333	0.654761904761905	0.744047619047619
2015-10-12	1322.33333333333	16201.2244912585	364.891329851385	3234.14504650286	3031.4651057699	2	200.01511717603	203.224043796369	82.5925925925926	113.222985495192	0.922569444444444	0.0121293779690833	1267.5	0.76521164021164	0.723370927318296
2015-10-13	1387.16666666667	6149.19716150367	89.3587710231265	1414.27244014707	1358.16087920804	1	186.339307924354	227.318827060781	93.3333333333333	121.595298702979	0.964351851851852	0	1211	0.79320987654321	0.745614035087719
2015-10-14	1419.66666666667	6089.05834972602	106.77839988178	2194.93510372206	2003.37875078402	1	196.421237087936	232.03000306065	35.4838709677419	77.2803860272199	0.987268518518518	0	1221.66666666667	0.79320987654321	0.745614035087719
2015-10-15	426.544849999746	261472.972266976	88309.066369151	196421.825025741	196428.289419114	2	471.12247255311	560.952348490291	31.9099099099099	51.3355123614662	0.795023148148148	0.672657135724699	1282.16666666667	0.307098765432099	0.31359649122807
2015-10-16	72.4551500002543	247456.060145798	62031.9301648062	195269.184241642	194376.343773289	2	428.124671532523	488.463344031876	38.3910034602076	68.7295409384119	0.743171296296296	0.42034210190153	1309.54484999975	0.131393298059965	0.171365914786967
2015-10-17	1363.16666666667	10116.7823703595	467.453481852239	3050.93504091443	3025.91884845108	2	326.347818398694	293.947553976901	69.0322580645161	105.304474064802	0.975231481481482	0.0925334794983772	1214.16666666667	0.763668430335097	0.857142857142857
2015-10-18	1409.5	4658.84609082669	87.6395191490688	1611.92623414804	1609.48960075145	1	202.558525688117	166.386294438639	79.5652173913043	158.873255969816	0.978819444444444	0	1209.95515000025	0.79320987654321	0.892857142857143
2015-10-19	1349.83333333333	8497.08858128075	83.6836653738511	1994.76159997891	1429.81797351784	1	163.405549640014	198.601450772432	104.038461538462	166.453898880407	0.937384259259259	0	1213.16666666667	0.766754850088183	0.718984962406015
2015-10-20	1409.33333333333	1747.01333454515	37.5893770075521	818.939654159883	811.084611403849	1	158.819394049559	143.362595183925	167.272727272727	230.221237469131	0.978703703703704	0	1226.66666666667	0.79320987654321	0.745614035087719
2015-10-21	1285.83333333333	43578.5652626598	2767.0481456524	12484.9243721123	10508.6632499228	2	320.430626931322	316.688922313125	35.6617647058824	51.4198723060828	0.943865740740741	0.186563882330337	1218.16666666667	0.731040564373898	0.692355889724311
2015-10-22	407.211516666412	259410.393882909	88223.3851331296	196486.839836601	196489.355500558	2	419.079796256719	535.638104774669	33.8772213247173	58.4936954645109	0.757291666666667	0.683933174314387	1273.33333333333	0.307098765432099	0.31359649122807
2015-10-23	146.788483333588	237324.086668935	68106.3665263728	195293.790549096	194800.95867805	2	538.149856392144	540.578543203107	40.4761904761905	83.9047078536121	0.793402777777778	0.558627942547499	1314.66666666667	0.194664902998236	0.226190476190476
2015-10-24	984.166666666667	129016.997363278	3508.27103372452	20815.9058378514	14443.1838386285	3	227.54320522624	253.318317676464	39.3827160493827	55.0438943157546	0.741550925925926	0.259117360120918	1276	0.603395061728395	0.696428571428571
2015-10-25	1430	9.23721458725171	2.18736589351713	9.23721458725171	7.61426160439377	1	9.23721458725171	0	600	0	0.993055555555556	0	1240.16666666667	0.79320987654321	0.892857142857143
2015-10-26	1430	317.750379885625	7.16915834281101	162.065447069698	152.293723286237	1	158.875189942813	4.51170489629884	300	395.979797464467	0.993055555555556	0	1243.33333333333	0.79320987654321	0.745614035087719
2015-10-27	1349.5	6559.59230408959	326.289253080673	3009.70920450823	3004.82994458443	2	937.084614869941	1348.97188745895	677.142857142857	965.120273777907	0.945138888888889	0.0487494479057667	1254.33333333333	0.79320987654321	0.745614035087719
2015-10-28	1408	27.5389493918434	7.46166978502105	23.3749355887528	13.3454310832414	1	13.7694746959217	13.5841730674861	960	509.116882454314	0.977777777777778	0	1245.5	0.79320987654321	0.745614035087719
2015-10-29	401.044849999746	279758.464172791	88734.4576993538	195931.812947775	195881.845804179	2	440.564510508332	747.418640483634	37.6220472440945	76.8782610432805	0.72349537037037	0.648770728360097	1311.5	0.287037037037037	0.285087719298246
2015-10-30	1.83333333333333	283297.441016784	53511.7447559916	195306.053857208	194816.603274361	2	412.970030636711	420.344830743111	38.5568513119534	78.6127093864509	0.694264509700609	0.100213493466085	1315.33333333333	0.117504409171076	0.149436090225564
2015-10-31	1349.62181666692	9028.42089634711	471.537605598486	3530.07216666872	3520.80225584894	2	273.588512010519	222.952924379296	132.121212121212	262.687523206727	0.949825834077333	0.0937288200726536	1308.5	0.768298059964727	0.875
