timestamp,UTC time, latitude, longitude, altitude, accuracy
1446314925767,2015-10-31T18:08:45.767,41.315007,-72.9594039,0.0,39.0
1446314945864,2015-10-31T18:09:05.864,41.3149377,-72.959289,0.0,55.5
1446314953749,2015-10-31T18:09:13.749,41.3151609,-72.95959177,-20.0,49.0
1446314954708,2015-10-31T18:09:14.708,41.31506225,-72.95967364,-34.0,45.0
1446314955707,2015-10-31T18:09:15.707,41.31507209,-72.95965221,-34.0,40.0
1446314956777,2015-10-31T18:09:16.777,41.31501883,-72.95965169,-38.0,39.0
1446314957766,2015-10-31T18:09:17.766,41.31501416,-72.95961563,-33.0,34.0
1446314958785,2015-10-31T18:09:18.785,41.31497556,-72.95966963,-33.0,28.0
1446314959724,2015-10-31T18:09:19.724,41.31496462,-72.95965,-32.0,27.0
1446314960685,2015-10-31T18:09:20.685,41.31485784,-72.95970283,-32.0,24.0
1446314961728,2015-10-31T18:09:21.728,41.31495275,-72.95968837,-29.0,21.0
1446314962712,2015-10-31T18:09:22.712,41.31491248,-72.95973346,-25.0,21.0
1446314963705,2015-10-31T18:09:23.705,41.31486425,-72.95977063,-24.0,20.0
1446314964700,2015-10-31T18:09:24.700,41.31494562,-72.95971726,-25.0,20.0
1446314965708,2015-10-31T18:09:25.708,41.31485254,-72.95974592,-25.0,21.0
1446314965823,2015-10-31T18:09:25.823,41.3149622,-72.9593624,0.0,36.0
1446314967788,2015-10-31T18:09:27.788,41.31487934,-72.95953758,-25.0,18.0
1446314968724,2015-10-31T18:09:28.724,41.31495893,-72.95962716,-22.0,18.0
1446314969671,2015-10-31T18:09:29.671,41.31501095,-72.95952434,-19.0,19.0
1446314970706,2015-10-31T18:09:30.706,41.31511686,-72.95949269,-19.0,18.0
1446314971794,2015-10-31T18:09:31.794,41.31507219,-72.95950293,-18.0,20.0
1446314972725,2015-10-31T18:09:32.725,41.31512411,-72.95948602,-18.0,23.0
1446314973723,2015-10-31T18:09:33.723,41.3151775,-72.95947252,-18.0,22.0
1446314974731,2015-10-31T18:09:34.731,41.31516424,-72.95950907,-18.0,25.0
1446314975731,2015-10-31T18:09:35.731,41.31515779,-72.9595369,-16.0,31.0
1446314976732,2015-10-31T18:09:36.732,41.31515859,-72.95949673,-15.0,24.0
1446314977719,2015-10-31T18:09:37.719,41.31514049,-72.95950503,-16.0,25.0
1446314978832,2015-10-31T18:09:38.832,41.31510636,-72.95951852,-17.0,24.0
1446314979717,2015-10-31T18:09:39.717,41.31506535,-72.95951357,-16.0,26.0
1446314980704,2015-10-31T18:09:40.704,41.31501627,-72.95946316,-18.0,21.0
1446314981772,2015-10-31T18:09:41.772,41.31497236,-72.95942817,-17.0,22.0
1446314982702,2015-10-31T18:09:42.702,41.31499807,-72.9595308,-15.0,20.0
1446314983709,2015-10-31T18:09:43.709,41.31495171,-72.95954696,-15.0,19.0
1446314984702,2015-10-31T18:09:44.702,41.31495116,-72.95955797,-16.0,19.0
1446314985709,2015-10-31T18:09:45.709,41.3149925,-72.95952189,-16.0,19.0
1446314986118,2015-10-31T18:09:46.118,41.3149767,-72.9593551,0.0,67.5
1446314986793,2015-10-31T18:09:46.793,41.31504723,-72.95948868,-18.0,19.0
1446314987760,2015-10-31T18:09:47.760,41.31505186,-72.95949326,-16.0,21.0
1446314988803,2015-10-31T18:09:48.803,41.31508219,-72.9594712,-17.0,20.0
1446314989729,2015-10-31T18:09:49.729,41.31511336,-72.9594477,-18.0,20.0
1446314990669,2015-10-31T18:09:50.669,41.31511857,-72.9594364,-18.0,20.0
1446314991785,2015-10-31T18:09:51.785,41.31512564,-72.95943104,-16.0,21.0
1446314992709,2015-10-31T18:09:52.709,41.31512934,-72.95938666,-15.0,20.0
1446314993717,2015-10-31T18:09:53.717,41.315123,-72.95936707,-16.0,20.0
1446314994709,2015-10-31T18:09:54.709,41.31512813,-72.959354,-17.0,22.0
1446314995719,2015-10-31T18:09:55.719,41.3151553,-72.95943885,-19.0,21.0
1446314996720,2015-10-31T18:09:56.720,41.31524161,-72.95949748,-18.0,21.0
1446314997717,2015-10-31T18:09:57.717,41.31528747,-72.95957635,-20.0,21.0
1446314998734,2015-10-31T18:09:58.734,41.31529026,-72.95957086,-21.0,24.0
1446314999705,2015-10-31T18:09:59.705,41.31523738,-72.95960151,-20.0,24.0
1446315000704,2015-10-31T18:10:00.704,41.3151256,-72.95961528,-21.0,20.0
1446315001705,2015-10-31T18:10:01.705,41.31527478,-72.95964154,-18.0,21.0
1446315002705,2015-10-31T18:10:02.705,41.31524193,-72.95966958,-18.0,21.0
1446315003670,2015-10-31T18:10:03.670,41.31526539,-72.95967865,-15.0,25.0
1446315004712,2015-10-31T18:10:04.712,41.31528546,-72.95963278,-12.0,27.0
1446315005706,2015-10-31T18:10:05.706,41.31527514,-72.9595985,-13.0,27.0
1446315005943,2015-10-31T18:10:05.943,41.3149919,-72.9593675,0.0,45.0
1446315006785,2015-10-31T18:10:06.785,41.31523635,-72.95957905,-12.0,28.0
1446315007739,2015-10-31T18:10:07.739,41.31521861,-72.95956333,-13.0,32.0
1446315008727,2015-10-31T18:10:08.727,41.31521498,-72.95954731,-13.0,37.0
1446315009724,2015-10-31T18:10:09.724,41.3152187,-72.95953613,-13.0,42.0
1446315010715,2015-10-31T18:10:10.715,41.31520814,-72.95952556,-12.0,46.0
1446315011768,2015-10-31T18:10:11.768,41.31515988,-72.95953662,-13.0,42.0
1446315012779,2015-10-31T18:10:12.779,41.31513728,-72.95953361,-13.0,31.0
1446315013734,2015-10-31T18:10:13.734,41.31489011,-72.95964932,-13.0,26.0
1446315014728,2015-10-31T18:10:14.728,41.3149338,-72.95959082,-13.0,25.0
1446315015732,2015-10-31T18:10:15.732,41.31498596,-72.95956793,-13.0,22.0
1446315016669,2015-10-31T18:10:16.669,41.31501891,-72.95957953,-13.0,22.0
1446315017712,2015-10-31T18:10:17.712,41.31501278,-72.95957668,-13.0,21.0
1446315018723,2015-10-31T18:10:18.723,41.31501439,-72.95958713,-13.0,23.0
1446315019725,2015-10-31T18:10:19.725,41.31508236,-72.95959048,-13.0,22.0
1446315020711,2015-10-31T18:10:20.711,41.31507173,-72.95959743,-13.0,23.0
1446315021671,2015-10-31T18:10:21.671,41.31507021,-72.95958608,-13.0,23.0
1446315022702,2015-10-31T18:10:22.702,41.31510926,-72.95954395,-15.0,21.0
1446315023704,2015-10-31T18:10:23.704,41.31520703,-72.95945134,-16.0,18.0
1446315024702,2015-10-31T18:10:24.702,41.31517386,-72.95951704,-16.0,17.0
1446315025715,2015-10-31T18:10:25.715,41.31518626,-72.95953246,-17.0,18.0
1446315025958,2015-10-31T18:10:25.958,41.3149666,-72.9593527,0.0,37.5
1446315027792,2015-10-31T18:10:27.792,41.31516886,-72.95957269,-20.0,15.0
1446315028760,2015-10-31T18:10:28.760,41.31516324,-72.95958127,-20.0,15.0
1446315029700,2015-10-31T18:10:29.700,41.31516932,-72.95957788,-20.0,16.0
1446315030938,2015-10-31T18:10:30.938,41.31518213,-72.95959066,-21.0,18.0
1446315031732,2015-10-31T18:10:31.732,41.31518627,-72.95957893,-21.0,20.0
1446315032790,2015-10-31T18:10:32.790,41.3151774,-72.95955989,-21.0,22.0
1446315033683,2015-10-31T18:10:33.683,41.31517217,-72.95954584,-20.0,23.0
1446315034786,2015-10-31T18:10:34.786,41.31516836,-72.9595324,-21.0,26.0
1446315035704,2015-10-31T18:10:35.704,41.31516568,-72.95952507,-21.0,31.0
1446315036770,2015-10-31T18:10:36.770,41.31516383,-72.95952321,-21.0,38.0
1446315037722,2015-10-31T18:10:37.722,41.31515803,-72.95951636,-21.0,46.0
1446315038671,2015-10-31T18:10:38.671,41.31515701,-72.95951004,-21.0,52.0
1446315039851,2015-10-31T18:10:39.851,41.31518989,-72.95951812,-21.0,63.0
1446315040668,2015-10-31T18:10:40.668,41.31519407,-72.95950211,-21.0,52.0
1446315041709,2015-10-31T18:10:41.709,41.31521886,-72.95948848,-21.0,59.0
1446315645908,2015-10-31T18:20:45.908,41.3149539,-72.9593589,0.0,36.0
1446315647949,2015-10-31T18:20:47.949,41.31509859,-72.95964337,-2.0,17.0
1446315648729,2015-10-31T18:20:48.729,41.31508954,-72.95967626,-7.0,14.0
1446315649728,2015-10-31T18:20:49.728,41.31507139,-72.95967487,-6.0,15.0
1446315650677,2015-10-31T18:20:50.677,41.31506714,-72.95967035,-5.0,11.0
1446315651709,2015-10-31T18:20:51.709,41.31505727,-72.95969125,-8.0,10.0
1446315652706,2015-10-31T18:20:52.706,41.31506045,-72.95969917,-10.0,8.0
1446315653706,2015-10-31T18:20:53.706,41.31506129,-72.95969111,-9.0,6.0
1446315654709,2015-10-31T18:20:54.709,41.31506855,-72.95969211,-11.0,6.0
1446315655708,2015-10-31T18:20:55.708,41.3150788,-72.95970237,-13.0,6.0
1446315656707,2015-10-31T18:20:56.707,41.31508871,-72.95970414,-15.0,5.0
1446315657707,2015-10-31T18:20:57.707,41.31509261,-72.95970427,-16.0,5.0
1446315658705,2015-10-31T18:20:58.705,41.31509296,-72.95970742,-17.0,5.0
1446315659709,2015-10-31T18:20:59.709,41.31509368,-72.95970858,-17.0,5.0
1446315660675,2015-10-31T18:21:00.675,41.31509417,-72.95970739,-17.0,5.0
1446315661706,2015-10-31T18:21:01.706,41.31509349,-72.95970983,-17.0,5.0
1446315662701,2015-10-31T18:21:02.701,41.31509318,-72.9597107,-18.0,4.0
1446315663704,2015-10-31T18:21:03.704,41.3150931,-72.95971063,-18.0,4.0
1446315664703,2015-10-31T18:21:04.703,41.31509332,-72.95970965,-17.0,4.0
1446315665718,2015-10-31T18:21:05.718,41.3150931,-72.95970854,-17.0,4.0
1446315665890,2015-10-31T18:21:05.890,41.3149702,-72.9594406,0.0,45.0
1446315666708,2015-10-31T18:21:06.708,41.31509395,-72.95970501,-17.0,4.0
1446315667791,2015-10-31T18:21:07.791,41.31509483,-72.95970066,-16.0,4.0
1446315668726,2015-10-31T18:21:08.726,41.31509492,-72.95969986,-16.0,4.0
1446315669725,2015-10-31T18:21:09.725,41.31509457,-72.9597008,-16.0,4.0
1446315670738,2015-10-31T18:21:10.738,41.31509495,-72.9596984,-16.0,5.0
1446315671706,2015-10-31T18:21:11.706,41.31509532,-72.95969654,-15.0,4.0
1446315672761,2015-10-31T18:21:12.761,41.31509508,-72.95969639,-15.0,4.0
1446315673707,2015-10-31T18:21:13.707,41.31509499,-72.95969628,-15.0,4.0
1446315674775,2015-10-31T18:21:14.775,41.31509518,-72.95969505,-15.0,4.0
1446315675728,2015-10-31T18:21:15.728,41.31509556,-72.95969243,-14.0,4.0
1446315676730,2015-10-31T18:21:16.730,41.31509562,-72.95969253,-14.0,5.0
1446315677736,2015-10-31T18:21:17.736,41.31509561,-72.95969257,-15.0,5.0
1446315678735,2015-10-31T18:21:18.735,41.31509554,-72.95969279,-15.0,5.0
1446315679724,2015-10-31T18:21:19.724,41.31509541,-72.95969289,-15.0,5.0
1446315680721,2015-10-31T18:21:20.721,41.31509533,-72.95969291,-15.0,5.0
1446315681707,2015-10-31T18:21:21.707,41.31509533,-72.95969301,-15.0,5.0
1446315682702,2015-10-31T18:21:22.702,41.31509533,-72.95969321,-15.0,5.0
1446315683704,2015-10-31T18:21:23.704,41.31509542,-72.95969329,-15.0,5.0
1446315684713,2015-10-31T18:21:24.713,41.31509544,-72.95969332,-15.0,5.0
1446315685706,2015-10-31T18:21:25.706,41.31509555,-72.95969325,-15.0,5.0
1446315686071,2015-10-31T18:21:26.71,41.3149002,-72.959344,0.0,42.0
1446315686848,2015-10-31T18:21:26.848,41.31509575,-72.95969335,-15.0,6.0
1446315687802,2015-10-31T18:21:27.802,41.31509566,-72.95969361,-15.0,6.0
1446315689736,2015-10-31T18:21:29.736,41.31509571,-72.9596939,-15.0,6.0
