timestamp,UTC time, latitude, longitude, altitude, accuracy
1444399464369,2015-10-09T14:04:24.369,41.3149501,-72.9594436,0.0,49.5
1444399472933,2015-10-09T14:04:32.933,41.31497872,-72.95954192,-7.0,47.0
1444399473852,2015-10-09T14:04:33.852,41.31497873,-72.95954468,-7.0,43.0
1444399474860,2015-10-09T14:04:34.860,41.31497865,-72.95954615,-7.0,37.0
1444399475930,2015-10-09T14:04:35.930,41.31497886,-72.95954619,-7.0,34.0
1444399476867,2015-10-09T14:04:36.867,41.31497895,-72.9595463,-7.0,33.0
1444399477865,2015-10-09T14:04:37.865,41.31497894,-72.9595464,-7.0,31.0
1444399478864,2015-10-09T14:04:38.864,41.31497893,-72.95954651,-7.0,32.0
1444399479813,2015-10-09T14:04:39.813,41.31497885,-72.95954667,-7.0,30.0
1444399480816,2015-10-09T14:04:40.816,41.31497885,-72.95954665,-7.0,31.0
1444399481833,2015-10-09T14:04:41.833,41.31497881,-72.95954664,-7.0,26.0
1444399482844,2015-10-09T14:04:42.844,41.31497885,-72.95954668,-7.0,22.0
1444399483837,2015-10-09T14:04:43.837,41.31497886,-72.95954676,-7.0,20.0
1444399484427,2015-10-09T14:04:44.427,41.3150081,-72.9593701,0.0,61.5
1444399484940,2015-10-09T14:04:44.940,41.31497884,-72.95954688,-7.0,19.0
1444399485871,2015-10-09T14:04:45.871,41.3149789,-72.95954682,-7.0,21.0
1444399486872,2015-10-09T14:04:46.872,41.31497893,-72.95954691,-7.0,19.0
1444399487862,2015-10-09T14:04:47.862,41.31497897,-72.95954689,-7.0,21.0
1444399488864,2015-10-09T14:04:48.864,41.31497895,-72.95954708,-7.0,19.0
1444399489861,2015-10-09T14:04:49.861,41.31497882,-72.95954733,-7.0,21.0
1444399491033,2015-10-09T14:04:51.33,41.31497878,-72.9595475,-7.0,20.0
1444399491863,2015-10-09T14:04:51.863,41.31497864,-72.95954785,-7.0,21.0
1444399492862,2015-10-09T14:04:52.862,41.31497867,-72.95954798,-7.0,20.0
1444399493853,2015-10-09T14:04:53.853,41.31497865,-72.95954816,-7.0,21.0
1444399494863,2015-10-09T14:04:54.863,41.3149787,-72.95954823,-7.0,21.0
